ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
 "S0103-37862021000100504-scl","Fatores influenciadores da divulgação de informação e do acesso à informação dos municípios","TEJEDO-ROMERO, Francisca, ARAUJO, Joaquim Filipe Ferraz Esteves","Transinformação; 33(); -","Transinformação","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862021000100504&lang=pt" 
"S0103-37862021000100505-scl","Compromiso de los Ayuntamientos Malagueños con la divulgación de información responsable","PACHE-DURÁN, María, NEVADO-GIL, María Teresa","Transinformação; 33(); -","Transinformação","Espanhol","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862021000100505&lang=pt" 
"S0103-37862021000100506-scl","The intellectual foundation of the elite of Brazilian researchers on knowledge organization domain","ARAÚJO, Paula Carina de, BUFREM, Leilah Santiago","Transinformação; 33(); -","Transinformação","Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862021000100506&lang=pt" 
"S0103-37862021000100501-scl","Políticos y periodistas: un bucle endogámico en los medios sociales: dominios compartidos en Twitter por diputados y periodistas españoles","FRANCH, Pere, MICÓ, Josep-Lluís","Transinformação; 33(); -","Transinformação","Espanhol","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862021000100501&lang=pt" 
"S0103-37862021000100502-scl","For a decolonial social epistemology","RIGHETTO, Guilherme Goulart, KARPINSKI, Cezar","Transinformação; 33(); -","Transinformação","Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862021000100502&lang=pt" 
"S0103-37862021000100503-scl","Esquema básico de metadados para representação descritiva de obras de arte em museus brasileiros","SILVA, Camila Aparecida da, LARA, Marilda Lopes Ginez de","Transinformação; 33(); -","Transinformação","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862021000100503&lang=pt" 
"S0103-37862021000100500-scl","Invisible science: publication of negative research results","SAYÃO, Luis Fernando, SALES, Luana Farias, FELIPE, Carla Beatriz Marques","Transinformação; 33(); -","Transinformação","Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862021000100500&lang=pt" 
"S0103-37862021000100507-scl","Oligopólios e publicação científica: a busca por impacto na América Latina","NEUBERT, Patricia da Silva, RODRIGUES, Rosângela Schwarz","Transinformação; 33(); -","Transinformação","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862021000100507&lang=pt" 
"S0103-37862021000100508-scl","Limites dos indicadores bibliométricos de bases de dados internacionais para avaliação da Pós-Graduação brasileira: a cobertura da Web of Science nas diferentes áreas do conhecimento","MELO, João Henrick Neri de, TRINCA, Tatiane Pacanaro, MARICATO, João de Melo","Transinformação; 33(); -","Transinformação","Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862021000100508&lang=pt" 
"S0103-37862021000100512-scl","Digital Curation and Information Design in digital environments: women’s museums panorama","JORENTE, Maria José Vicentini, SILVA, Stephanie Cerqueira, PADUA, Mariana Cantisani","Transinformação; 33(); -","Transinformação","Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862021000100512&lang=pt" 
"S0103-37862021000100511-scl","Reasons and implications of retracted articles in Brazil","SANTOS-D’AMORIM, Karen, CORREIA, Anna Elizabeth Galvão Coutinho, MIRANDA, Májory Karoline Fernandes de Oliveira, SANTA-CRUZ, Petrus","Transinformação; 33(); -","Transinformação","Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862021000100511&lang=pt" 
"S0103-37862021000100510-scl","Thesaurus and subject heading lists as Linked Data","Barbosa, Everton Rodrigues, Dutra, Moisés Lima, Godoy Viera, Angel Freddy, Macedo, Douglas Dyllon Jeronimo de","Transinformação; 33(); -","Transinformação","Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862021000100510&lang=pt" 
"S0103-37862021000100509-scl","Attitudes toward open peer review among stakeholders of a scholar-led journal in Brazil","Fontenelle, Leonardo Ferreira, Sarti, Thiago Dias","Transinformação; 33(); -","Transinformação","Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862021000100509&lang=pt" 
"S0103-37862020000100507-scl","Transparencia online como bien intangible del sector público","ROBLES-LÓPEZ, Carmen María, ZAMORA-MEDINA, Rocío","Transinformação; 32(); -","Transinformação","Espanhol","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100507&lang=pt" 
"S0103-37862020000100506-scl","Eye tracking y usabilidad en ambientes informacionales digitales: revisión teórica y propuesta de procedimiento de evaluación","ROA-MARTÍNEZ, Sandra Milena, VIDOTTI, Silvana Aparecida Borsetti Gregorio","Transinformação; 32(); -","Transinformação","Espanhol","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100506&lang=pt" 
"S0103-37862020000100505-scl","A influência da Escola de Chicago na produção científica nacional em Ciência da Informação","VIEIRA, Keitty Rodrigues, KARPINSKI, Cezar","Transinformação; 32(); -","Transinformação","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100505&lang=pt" 
"S0103-37862020000100508-scl","Focalización fílmica Clásica y Moderna: estructuras de información en la historia del cine de ficción","VALHONDO-CREGO, José Luis","Transinformação; 32(); -","Transinformação","Espanhol","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100508&lang=pt" 
"S0103-37862020000100206-scl","Intellectual authorities and hubs of Green Chemistry","MARCELINO, Leonardo Victor, PINTO, Adilson Luiz, MARQUES, Carlos Alberto","Transinformação; 32(); -","Transinformação","Inglês","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100206&lang=pt" 
"S0103-37862020000100205-scl","Analysis of the model of integration of multicultural media in the network’s space of public opinion","WANG, Liang, DONG, Chen","Transinformação; 32(); -","Transinformação","Inglês","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100205&lang=pt" 
"S0103-37862020000100207-scl","Data and information in online environments","GONZÁLEZ-VALIENTE, Carlos Luis, MACEDO, Douglas Dyllon Jeronimo de","Transinformação; 32(); -","Transinformação","Inglês","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100207&lang=pt" 
"S0103-37862020000100510-scl","Allergy &amp; prehistory in Spanish written press","CUÉLLAR, Macarena Parejo, PENA, Daniel Martín, MORENO, Agustín Vivas","Transinformação; 32(); -","Transinformação","Inglês","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100510&lang=pt" 
"S0103-37862020000100511-scl","The application of crowdsourcing and the Bazaar model to the development of library classifications: an assessment of the Open Shelves Classification","MARTÍNEZ-ÁVILA, Daniel, SAN SEGUNDO, Rosa","Transinformação; 32(); -","Transinformação","Inglês","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100511&lang=pt" 
"S0103-37862020000100509-scl","BIBFRAME y el futuro de la descripción, vinculación y recuperación de los recursos de información","ÁVILA-BARRIENTOS, Eder","Transinformação; 32(); -","Transinformação","Espanhol","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100509&lang=pt" 
"S0103-37862020000100512-scl","Deep Web e Dark Web: similaridades e dissiparidades no contexto da Ciência da Informação","VIGNOLI, Richele Grenge, MONTEIRO, Silvana Drumond","Transinformação; 32(); -","Transinformação","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100512&lang=pt" 
"S0103-37862020000100513-scl","Museologia da religião: exposições temporárias do Museu do Santuário de Fátima","ROQUE, Maria Isabel Rocha","Transinformação; 32(); -","Transinformação","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100513&lang=pt" 
"S0103-37862020000100201-scl","LinkedIn as a data source to rank universities according to graduate’s employability in top companies","MORENO-DELGADO, Alicia, ORDUÑA-MALEA, Enrique, REPISO, Rafael","Transinformação; 32(); -","Transinformação","Inglês","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100201&lang=pt" 
"S0103-37862020000100514-scl","Gestão do conhecimento: constituição do campo, temas e perspectivas de pesquisas","MACHADO, Hilka Pelizza Vier, ELIAS, Maria Ligia Ganacim Granado Rodrigues","Transinformação; 32(); -","Transinformação","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100514&lang=pt" 
"S0103-37862020000100515-scl","El prestigio de las editoriales académicas con libros en Ciencias Sociales y Humanidades en Brasil","TEJADA-ARTIGAS, Carlos-Miguel, GIMÉNEZ-TOLEDO, Elea, OLIVEIRA, Aline Borges de","Transinformação; 32(); -","Transinformação","Espanhol","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100515&lang=pt" 
"S0103-37862020000100516-scl","Um método para criação de tesauros semânticos de requisitos usando a ontologia SKOS","ZACARIAS, Rodrigo Oliveira, JACYNTHO, Mark Douglas de Azevedo, VASCONCELOS, Aline Pires Vieira de","Transinformação; 32(); -","Transinformação","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100516&lang=pt" 
"S0103-37862020000100203-scl","Scientific production of women in Brazil","SANTIAGO, Monique de Oliveira, AFFONSO, Felipe, DIAS, Thiago Magela Rodrigues","Transinformação; 32(); -","Transinformação","Inglês","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100203&lang=pt" 
"S0103-37862020000100517-scl","Periódicos científicos com indexação descontinuada: a Coleção SciELO Brasil","PEREIRA, José Paulo Speck, RODRIGUES, Rosângela Schwarz, SANTOS, Solange Maria dos","Transinformação; 32(); -","Transinformação","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100517&lang=pt" 
"S0103-37862020000100202-scl","Correlations between the concepts of disinformation and Fogg’s Behavior Model","MURIEL-TORRADO, Enrique, PEREIRA, Danielle Borges","Transinformação; 32(); -","Transinformação","Inglês","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100202&lang=pt" 
"S0103-37862020000100204-scl","A model for art communication and development under the influence of social network","ZHANG, Dongsheng, SUN, Daodong","Transinformação; 32(); -","Transinformação","Inglês","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100204&lang=pt" 
"S0103-37862020000100502-scl","La producción científica en el estudio de experiencia de usuario en educación: caso Web of Science y Scopus","MORETA, Cinthia De Oleo, SAID-HUNG, Elias","Transinformação; 32(); -","Transinformação","Espanhol","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100502&lang=pt" 
"S0103-37862020000100503-scl","Um método para publicação semântica Linked Data de bases de dados convencionais e um estudo de caso real de artigos acadêmicos","GONÇALVES, Adriano de Oliveira, JACYNTHO, Mark Douglas de Azevedo","Transinformação; 32(); -","Transinformação","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100503&lang=pt" 
"S0103-37862020000100504-scl","Construcción de una red de ontologías sobre eventos meteorológicos a partir de periódicos históricos","VILCHES-BLÁZQUEZ, Luis Manuel, COMESAÑA, Diana, ARRIETA MORENO, Lorena de Jesús","Transinformação; 32(); -","Transinformação","Espanhol","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100504&lang=pt" 
"S0103-37862020000100500-scl","A Gestão do Conhecimento holística e a aderência do modelo Fivaz e Pretorius","CORRÊA, Fábio","Transinformação; 32(); -","Transinformação","Português","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100500&lang=pt" 
